,question,target
1011,"Partial converse of the fact: $f\in L^p , g\in L^q \Rightarrow fg\in L^1$",1
3868,Are reflexive relations transitive?,1
5862,"How to imagine ""tensoring with Serre's twisted sheaf""",1
5545,$\mathbb{F}_p$ algebra with many $p$th roots of unity,1
6892,What is this soft cased worm-like creature?,0
1237,"Intuition for $\,c\mid a,b \iff c\mid \gcd(a,b)$",1
7210,How do the bacteria producing bacteriocins protect themselves from it?,0
1424,A binomial identity from counting permutations with cycles of length two.,1
11704,Copying items in arrays while checking their indexes,0
2238,An Algorithm to Find the Generators of the Radical of a Monomial Ideal,1
3012,Volume of the intersection of unit hypercube and Lp n-ball,1
10842,Check if given number can be expressed as sum of 2 prime numbers,0
10620,A bitwise common prefix algorithm in Python,0
6138,What is this plant with white-spotted thorny leaves from Morocco?,0
6281,"Do ants really dispose of their own dead, and how/why?",0
2343,FTOC and Path Integration,1
2970,How is there fewer zeros in the left of 1 in this language?,1
1857,Gamma and incomplete gamma functions- when are they equal?,1
7482,What does 'H' in BamHI stand for?,0
9184,First-come first-serve job scheduling algorithm,0
7662,"Estimate sex-specific survival from mark-recapture data using multi-site, sex-specific cormack-jolly-seber model?",0
6620,How does Celiac's Disease cause people to stop growing?,0
11443,Efficient loop over a integer range in Python,0
8697,What is the average age of my flesh and my bone?,0
11758,Check existence of item in collection,0
2758,A step in the completeness proof of first-order logic,1
5516,"Existence of Non-Trivial, Convex, Open Set in $C_{\mathbb{C}}[0,1]$ Under $L^{0}$ Metric",1
8915,What is the composition of human feces?,0
304,logarithmic inequality with different bases,1
11318,Sum of Look and Say Sequence,0
256,Let $\varphi$ and $\psi$ be isometries. Show that the conjugacy $\psi\circ\varphi\circ\psi^{-1}$ is of the same type as $\varphi$,1
7948,Is there any bank of animations for Embryology?,0
9477,"Which m numbers in the range [1, k] have sum equal to n",0
7690,"What effect do oligosaccharides, like those found in legumes, have on the composition of intestinal flora in humans and if so how so?",0
7744,Why do some mammals have incomplete orbits?,0
6837,Can one switch the DNA present in a sperm cell?,0
10631,Implementing factory design pattern with generics,0
10724,Memcached load generation,0
5406,The Joukowski Mapping circle unit mapping to elipse,1
1477,Try to give a description of $Q/ \sim$.,1
64,How to find number of words made using letters of word 'EQUATION' if order of vowels do not change,1
4031,Who are the two men credited with inventing logarithms?,1
1770,What is the set {$e\in(R/ I)\times(R/J): e$ is idempotent},1
10828,Maximum One Third Cut,0
11197,Wrap a callback method in an awaitable method,0
5625,Calculate a limit of probability,1
5648,Difference Between Matlab / Octave Solve and Numpy Solve,1
11770,Finding compound words with Trie in python,0
341,"Solving these types of integrals, using Monotone convergence theorem and Dominated convergence theorem.",1
1721,Find a sample size such that the probability of a sampling error less than $0.005$ will be $0.99$ or greater.,1
5520,Fourier series representation of $ x_8(t) = | \cos (2 \pi f_o t) | $,1
2109,Sample mean: dependence,1
3587,Probability of A given B and probability of A given B complement.,1
10561,prove that NDFA = { | M1 and M2 are DFAs such that there is at least one string x that is accepted by neither M1 nor M2} is decidable?,0
9641,Diagonalization argument for MAJORITY,0
2356,If and only if condition for Simpson's paradox,1
8667,"How does a single-stranded RNA bind to a double-stranded DNA to form a ""triplex structure""?",0
3067,Calculate functional determinant $\det(\partial_x)$?,1
1489,"Integration with surds, problem taking out $x^2$",1
792,"A question based on intermediate fields , separable elements , inseparable elements",1
5050,Prove Lax entropy condition for conservation law with convex flux,1
10311,Python REST API clients,0
2265,Distribution of Euclidean Distances Between Randomly Distributed Gaussian Points in n-Space,1
9751,Power8 addressing modes,0
9328,"integer = c lg n (inputs of size n, Cormen 3rd, page 23)?",0
1586,Estimate total distance using Riemann sum based on data table,1
8996,opposite subtype of stomach cancer,0
4931,"Determine the number of subsets of $\{1,2,3,4,…,50\}$ whose sum of elements is larger than or equal to $638$.",1
503,New values of vector after change of base,1
11687,Bin Packing across multiple iterations,0
5530,Approximation theorem from measure theory,1
10521,Hanoi towers recursive expression for EVERY algorithm,0
2850,Second fundamental theorem of calculus on the unit sphere,1
7767,"How can a homozygous mutation, considered pathogenic, occur on a gene such as HFE without the disease developing?",0
4642,proving the validity,1
7519,Antibacterial soap impacts on septic system?,0
7881,Does dairy negatively affect the voice for singing?,0
710,Inverse Z-transform with a complex root,1
6982,Difference between CDS and cDNA,0
11319,"If $A$ reduces to $B$ and $B$ is NP-hard, is $A$ NP-hard?",0
5640,"A triangle ABC with the internal bisector of $\angle A$, the median drawn from B and the altitude drawn from C meet at the same point.",1
6795,Why is the hexose monophosphate shunt called a direct oxidative pathway?,0
8628,How are individual neuron firing rates characterized?,0
8404,What's this spring-like structure in the plant parenchyma cell?,0
839,Pontryagin Duality and Adjoints of Group Automorphisms,1
2125,$f$ is factored into many same degree irreducible polynomials.,1
6622,Why rectus abdominis is not proximal muscle?,0
4001,3-sphere complex co-ordinates,1
160,Are all theorems of minimal arithmetic theorems of a given theory?,1
4406,Surprising results about the geometry and topology of Lie groups,1
3297,number of odd coefficients in the expansion of $(1+x)^n$,1
8379,quantification of glucose utilization in different metabolic processes,0
1631,What's the parametric function for a rotated ellipse about one of its foci?,1
1710,Cardinality of $ \mathbb R \times \mathbb R $ and $ \mathbb R $.,1
101,"If two smooth paths are equivalent, does it necessary mean that they connect the same two points, or just that their traces are the same?",1
5747,Is it true that the unit ball is compact in a normed linear space iff the space is finite-dimensional?,1
4033,Do locally trivial and smooth fibrations correspond to subbundles of the tangent bundle,1
10476,Using naturality to prove $f: \forall\alpha. \alpha\times\alpha\to\alpha$ must be a projection,0
6983,What happens to the excess immune cells or WBC in our body?,0
5122,Chess table Mathematical Induction Problem,1
2454,What allows us to differentiate closed form summation?,1
8453,"Is the ""concept of time"" coded into the genome?",0
8750,How to validate the use of an anti-virus monoclonal antibody in IHC by spiking a fresh organ with infected cultured cells?,0
3387,Resolve into to factors,1
6142,The role of voltage-gated ion channels in chemical synapses,0
2380,"What does ""coefficients from all of $\mathbf{F} _q$"" mean",1
7137,"Trying to identify the tree in this picture. Shot from the Nepenthe restaurant, Big Sur, California",0
2359,How should I solve the equation $\sqrt{x-\frac 1x}+\sqrt{1-\frac 1x}=x$,1
4759,"Fourier transform of 3-d ""disk""",1
2342,Using epsilon delta definition show $a_n=\frac{2(n!)}{n^n}$ converges to $0$,1
5639,Geometric or matrix intuition on $A(A + B)^{-1}B = B (A + B)^{-1} A$,1
6292,Does increased cell turnover cause cancerous mutations?,0
9688,Building a lot of individual programs from one Makefile,0
9951,Output the most used non-trivial words from a file,0
1623,Orthogonal basis square integrable function on real line,1
10928,Selectively mapping one object to another,0
1564,Question on series of function (Multiple choice),1
10870,Static Methods for Dealing with Conversions from and to UTC,0
5363,Partial sums of the divisor function,1
8133,Why do we urinate more often in winter compaired to summer?,0
6342,Do non-pathogenic organism not have PAMPs? Are there any research paper which proves that a certain microbe is non-pathogenic?,0
4446,Is the output of a line integral over a scalar field a vector?,1
347,Given parallelogram $ABCD$ with $M$ the midpoint of $AB$ and $E$ the foot of the altitude from $C$ to $AD$ (extended). Show $ME=MC$.,1
5605,Are true parabolic numbers possible?,1
2196,Structure theorem for finite dimensional algebras,1
10483,Maintain sync of select list,0
8308,What are phenetic analyses used for?,0
10653,Is it possible to solve this problem in less than n^2 time without using additional space?,0
11930,Image quantization for grayscale images with alpha channel,0
6677,Preferred Aspect Ratio for Human Eyes,0
3077,Cohomology of Double Complex (extreme case),1
9232,What are the general applications of Computer Science in the field of Psychology?,0
10122,Why do we use multiple data structures?,0
9206,"Displaying contacts in PHP, with options to omit some information",0
3011,How to prove equality between this integral over an $n$-dimensional space and the reciprocal factorial?,1
6756,Parametric Bootstrap Capture Recapture,0
7727,Population Growth Rate Question?,0
2797,The variety of the chords to the rational normal cubic,1
5988,Is Coherent sheaf acyclic?,1
1195,The function $\exp: \mathfrak{su}(n)\to SU(n)$ is surjective,1
10999,Cut costly functions in inter-procedural abstract interpretation,0
6831,All or nothing phenomena,0
173,Defining a sheaf of differential operators,1
11566,Chunk a large set of characters by a specified set of delimiters and a maximum chunk size,0
1630,"Proving that the set of all graphs of continuous functions $f:[0,1] \rightarrow \mathbb{R} $ is closed",1
10287,Four jQuery date time pickers,0
5118,"Interesection of two ""homogenous lines""",1
1267,Question on average.,1
6931,Does the anatomy of our hand result in (computer) mouse-accuracy that varies by direction of movement?,0
6295,Placebo effect and why they work,0
7240,Time required to evolve advanced chromatophores in octopuses and squid?,0
981,Convergence in mean of a series of random variables,1
11470,First text game with Python - Higher or Lower,0
6038,Gene transfer between Gram positive and Gram negative bacteria?,0
8480,Identification of a larva,0
483,"If sigma-algebra $\mathcal{B}$ on $X$, show that if $\mathcal{B}$ is finite, it must be generated by a finite partition of $X$",1
1756,Calculating the area under $2x^2+1$ using the method of exhaustion,1
6486,"Please help identify insect found indoor in Malaysia, south east Asia",0
7840,Can a dead tree root still draw water?,0
3835,Creating non self intersecting Quadrilaterals from 4 points,1
10979,Utilizing std::map and std::array for displaying a modulus grid,0
3025,Proof of the trichotomy of real numbers using Cauchy sequences.,1
824,Help Building a Partitioning of a Graph,1
946,A Good Example of an Argument That Cannot Be Reversed,1
8451,What does does a blood sample tell you about an individual's identity?,0
6243,Which animal species is this?,0
5208,Proving Convexity review question,1
10419,Is Event.wait necessary here?,0
1354,"Convergence of $\int_0^\infty x \sin e^x \, dx$",1
8207,Are there any proven ways to increase the rate of bone remodeling in humans?,0
9889,How to get all tree-like refutations of a formula,0
1794,All roots $\lambda$ of $\det(A-\lambda B)=0$ are $\ge1$ when $B$ is p.d and $A-B$ is n.n.d.,1
9821,method to decide if two strings are anagrams,0
6420,Is a part of the spinal cord from the mesoderm?,0
252,Construction of an integrable function with a function in $L^2$,1
3623,how do I factor this $6a^2+ 70ab$?,1
1646,"$V$ is finite dimensional vector space. $G$ is a spanning set of $V$, $I \subseteq G$ is linearly independent",1
2539,Prove the following inequality??,1
3909,Differential Equations Recipes,1
1227,Proving existence of a cycle in a directed graph using Lovasz local lemma,1
9102,Direct Mapped Cache simulation,0
11479,Neural network diverging instead of converging,0
7121,What is the lifespan of haemonchus contortus in its L5 adult form?,0
6135,Why do I have a lot in common with my mother?,0
11278,Insect combinatorics challenge,0
4249,Dummit & Foote 13.2.18,1
9463,Stopwatch exception implementation in C#,0
9337,JavaScript tournament scheduling (fixture generation) algorithm,0
2968,Proving the Archimedean Property of reals and NIP (Nested Interval Property) using MCT,1
1209,Confusion with the definition of a convergent numerical process of integration,1
5849,Elements of tensor product,1
506,Reducing balance with overall percentage,1
1050,Galois theory about automorphisms of the field of rational functions,1
11333,x86 strcpy implementation,0
8817,Using the IMGT/GENE-DB service to find RSS,0
2432,The importance of being real,1
10983,Topological sort in Java,0
7656,why does blood when oxidized over time become bluish green?,0
3966,Continuous images of compact pseudometrizable spaces,1
2744,Stating if a function being a contraction,1
11371,Simplifying working Caesar cipher,0
1405,Find the minimum value of $x_1^2+x_2^2+x_3^2+x_4^2$ subject to $x_1+x_2+x_3+x_4=a$ and $x_1-x_2+x_3-x_4=b$.,1
9879,Importing data into PostgreSQL from remote text file using ftplib class,0
8462,Predict if a given protein is recognized by antibodies,0
3078,"How do we prove that a power series centered at $a\in\textbf{R}$ is continuous on the interval $(a-R,a+R)$?",1
9799,First-class objects in Python,0
982,Regarding retractions of $X$ onto subspaces,1
11099,Short quiz about Myhill-Nerode theorem,0
6630,Difference between spiking and firing,0
4980,"Integration of $\int_0^{2\pi}(e^{\cos x}\cos x\sin x) \,dx$",1
2398,What is the number of distinct 3 letter words out of different number of given letters?,1
2273,"Solution to safe with six keys, largest number of people with 3 different keys each.",1
8855,Are there certain symmetric-pair muscles that are slightly bigger and NOT due to handedness?,0
11680,Pick algorithm with runtime in O(n) vs. Θ(n) vs. Ω(\log n ),0
9916,Reactjs Tab Component,0
9666,TicTacToe game in C#,0
5709,"Integrating $u^2(x+y)$ over $\partial B_1 (0)$, where $u$ is harmonic",1
7742,Ligation without purifying insert,0
5477,Finding Invariant Subspaces without Eigenvectors,1
8578,Reformulation of Hamilton's rule,0
6590,what are hyperbranched amplicons in DNA sequencing?,0
6670,Redundancy of the genetic code,0
8403,Where do I find standard tissue and cell names?,0
4804,Branching process: Why does the population die or explode?,1
8972,Did the eugenics program in Nazi Germany have a measurable effect?,0
9667,Validations in filter class,0
6519,No. of meiotic divisions to produce specific no. of seeds,0
4107,Calculus of Variation (Dido's Problem?),1
8302,"Are CN3, CN7, CN9 and CN10 the only Parasympathetic Cranial Nerves?",0
4297,A topology in a Vector space,1
10108,UNUSED() with teeth in C++11 debug builds,0
11862,cake pattern object assembly - using a builder function in combination with the cake pattern,0
4101,Distribution of the ratio of two Normal variables,1
5858,Reverse investigation of random variables,1
6194,Why don't phosphatases both add and remove phosphate groups if enzymes catalyze reactions in both directions?,0
3230,Generating set for wreath products,1
4350,Is using a platform like Chegg helpful for studying?,1
3953,Decomposing a tensor product space into direct sums,1
1022,Linear Regression: Finding a quadratic function that approximates a given set of points,1
11877,Using generic methods for basic crud operations,0
1324,Definite integral equal to zero,1
3239,Significance of the 1st order statistic,1
7711,What is Peter's rule in neuroscience?,0
5431,The topology of the level set of real valued harmonic function through the critical point,1
806,How to show $A=\begin{bmatrix}A_1\\A_2\end{bmatrix}$ is non-singular when $N(A_1)=R(A_1^T)$?,1
2228,Question about probability in infinite game of chance,1
2096,"Difference between continuous and essential spectrum, examples?",1
2339,Evaluating $\frac{1}{2 \pi i} \int_{|z|=3} \frac{e^{\pi z}}{z^2(z^2+2z+2)}dz$,1
3469,"Find CDF when knowing PDF, also find E[X]",1
10463,"Level sums, displacements: how to determine their effect efficiently?",0
218,Find a suitable counterexample?,1
3506,Solving Laplace's equation for semi-infinite bar using conformal mapping,1
287,How to find out if there 7 prime subtractors of a number,1
5175,How to compute the expected exit time of a simple random walk? A question concerning a typo in Sinai's paper,1
2292,Characterizing solutions to a particular equality,1
1041,Problem related to Incircle of a triangle,1
1464,Find the value of $a$ such that the series converges.,1
5835,Find volume of solid using shell method,1
10278,Jinja2 block that is unreadable,0
11030,Refining an ASP.Net MVC VeiwModel for a Table to display worked hours,0
11789,Squaring the two digits in the middle of a four-digit number,0
11061,Print matrix diagonals method,0
8970,Deuteranopia confusion lines,0
9865,Access to publicly available project with all the artefacts (files) created during the development,0
5677,IVT from FTC and Darboux,1
3173,Inverse of $2x + \cos{x}$,1
9595,How to determine seed collision probability in a PRNG?,0
5864,Solving the Cubic Equation (using Lagrange Resolvents),1
3754,Abelian subcategory which is not a Serre subcategory,1
3669,Uniform convergence of a functional sequence using Ascoli-Arzela threorem,1
405,"Proving $\{(C,x): C(x) = 1 \ \ \text{and} \ \ C \ \ \text{is monotone}\}$ is P-complete",1
705,Does the function have horizontal or vertical asymptotes?,1
1604,Find the implicite and explicite set of this little cartesian product,1
10577,Finding the longest common subsequence algorithm using hash table Slow,0
11813,What is the best heuristic function for evaluating the state in game of sprouts?,0
1403,Is the dimension of a Noetherian local ring equal to its associated graded ring?,1
6874,What is the mechanism responsible for long-lasting detectable antibody titers?,0
11046,From nand to numbers,0
2859,The maximum of $\frac{1}{(2a+b+c)^2}+\frac{1}{(2b+c+a)^2}+\frac{1}{(2c+a+b)^2}$,1
11313,What machine learning algorithm to use and how to implement it?,0
1702,rank$(R\otimes_R S)$ is the composition of $f^∗$ and rank$(P)$.,1
5444,Calculating $l^1$ and $l^2$ norms of three sequences : Do they admit a closed form?,1
7783,Calculation of water potential,0
2210,finite dimensional group is locally a manifold or product with a cantor set,1
6637,Relation between trigeminal and facial nerve in sympathetic response,0
10895,Relations among different boolean approximations,0
3943,The probability it's warm when it's sunny is 0.7. Is this a conditional probability?,1
8986,Can someone identify this ant queen?,0
6947,Questions to ask to a panel of people that will be sequenced,0
10379,Is there a name for this priority queue data structure?,0
9366,Implementing binary-heap in x86-64 assembly,0
6204,Does anyone know what are these birds?,0
505,Exercise 2.5.6 of Understanding Analysis,1
8095,Problem in understanding Operon,0
2236,Error minimum when it is minimum,1
10239,Update SQL database with using statement and SqlParameters,0
10198,$\omega$-string avoiding a set of substrings,0
5042,Pointwise version of Fejer's Theorem,1
7860,Estimation of cases with dominant inheritance,0
3097,Not null Killing form.,1
10454,Existence of suitable pseudo-random number generators to derandomize BPP to P,0
485,Calculating correlation given a joint cumulative distribution function,1
4109,Rank of the quotient of an Abelian group by its torsion part?,1
707,Find two finite abelian groups of same order $G$ and $H$ such that $G \ncong H.$,1
5124,Charts for a real vector bundle,1
7424,Are SNPs or SSR copy number variation mutations more prominent?,0
7839,Vitamin and mineral contents of common fruits,0
6427,How does RNA polymerase II CTD bind to the RNA modification proteins if the tail is flexible?,0
9804,Check the address String for presence of a New Brunswick abbreviation,0
5595,Constructing a convex polyhedron from a spherical polyhedron,1
661,Does this Stochastic Differential Equation have a name?,1
11027,Real time graph simulation of dice tossing,0
7143,How do C. elegans manage nutrition?,0
7522,What are key factors when evaluating and comparing miniprep columns?,0
4281,sequence get number in sequence from place in sequence,1
9233,Complexity of multiplying two integers of size $n$ and $m$,0
1696,Finding the coordinates of an unknown point.,1
2654,Evaluate an integral using integration by parts,1
2417,"Fourier series with filter function $f_n^g(x)=\int_0^{2\pi}f_n(y)G(x,y)dy$",1
5358,To show the given set is uncountable.,1
7472,How much does a human brain's metabolic rate vary?,0
8044,Coacervater were more like Viruses or Cells?,0
1814,"What is $\int_0^1 \frac{(1-x^2)xm^2}{m^2x^2+\lambda^2(1-x)} \, dx$?",1
5412,Principal G-bundles depend only on the homotopy type of $G$,1
10349,How to increase efficiency of recursion algorithm?,0
1842,Gaussian Elimination on Block Matrix,1
2709,"Operator norm of $T\colon H\to H$ if we know $\|T|_{W}\|$ and $\|T|_{W^{\perp}}\|$, where $W\subset H$ is a closed subspace.",1
5682,Existence if integer solutions,1
9075,How to show $L = \{0^{i}1^{i^{2}}| i \ge 0\}$ is not context-free using pumping lemma,0
9737,Compute arithmetic sum of a constant difference sequence,0
6438,How might I break down bread into glucose in a model of the human digestive system?,0
8426,How do neurons inverse an action potential?,0
6869,What is GST RhoA fusion protein?,0
7336,how many copies of tp53 (p53) gene do we have?,0
3181,Derivative with constant in the denominator,1
9105,Excel query within PowerShell,0
7238,Snake with orange spots found in South Florida,0
11375,How to think smarter when you need diff args in functions,0
4135,"Evaluate $\int_0^1 \log (1-x)\ _3F_2\left(1,1,1;\frac{3}{2},\frac{3}{2};x\right) \, dx$",1
10271,Selectively printing elements on web page using a bookmarklet,0
9508,"""Grammar inference"" for 2-D images",0
9268,Maximum Subsequence Sum : Mark Weiss:,0
11120,Displaying a greeting to one user selected from a database,0
2516,Questions about $\mathbb C[x]/(x^2+1)$,1
9082,An intuitive explanation for LR grammars?,0
9007,Bellman-Ford Termination when there is no change on vertex weights?,0
448,Prove that $\int_{0}^{1}{(1-x)(x-3)\over 1+x^2}\cdot{dx\over \ln{x}}={\ln{8\over \Gamma^4(3/4)}}$,1
10228,Plots of prior and posterior distributions for a model,0
9824,Parsing: Entity Classes to DTO,0
11628,Security check using an SQL call,0
11357,Intersect Method Slows Down Code In Large Selection Of Cells,0
7992,Confusion about the construction of the rat's mental map,0
5599,Finding multiplicative order of a,1
2608,Methods for calculating the mean and variance of a distribution created from the addition of two normally distributed quantities,1
4913,Help with this double summation,1
10402,Authentication using PDO,0
10801,Existence of d-regular subgraphs in a k-regular graph,0
352,Show that $f$ is integrable and $\int_{I} f=0$,1
4134,Proving that sequence is in $\ell^\infty$,1
10988,Why does this grammar derive into $\beta \alpha ^*$ instead of $\alpha ^* \beta$?,0
7846,What indices can we use to describe fitness landscapes?,0
1284,Closed form of recurrent arithmetic series summation,1
5553,Prove isoperimetric inequality for a closed curve parametrized by a smooth $2\pi$-peirodic complex valued function,1
6336,James Allison's T-cell discovery technique,0
2400,A divisor of a product of integers is a product of divisors,1
11695,Simple Registration Form. I would like to get rid of code duplications,0
2798,a powerset define a group?,1
10026,Prevent a UITextField from being input with aphabetic characters,0
9740,Ruby function to capitalize all words in a string,0
11295,The extension of a code is itself a code,0
6308,"Book on yeast reproduction, evolution and on the use of yeast as model organism",0
4125,Distribution of the maximum of absolute value of multivariate Gaussian,1
671,"How to prove that $\,\,f\equiv 0,$ without using Weierstrass theorem?",1
