,question,target
9606,Let $x_1=a>0$ and $x_{n+1}=x_n+\frac{1}{x_n} \forall n\in \mathbb N$. Check whether the following sequence converges or diverges.,1
6810,Prove subspace of finite dimensional vector space is finite dimensional,1
15908,Prevent biofilm formation on moist surfaces,0
11856,Evaluate $\int{\sqrt{a^2 - x^2}}dx$,1
5865,How do I show this relation among partial derivatives,1
18670,Add license to beginning of files,0
6180,"If $v_n \rightharpoonup v$ and $\phi \in C_c^{\infty}(\mathbb{R}^N)$, do we have $v_n \phi \rightharpoonup v \phi$?",1
928,finite sets in a metric space,1
13087,Shortest strings not present in the human genome,0
5321,Calculate: $\sum_{k=1}^\infty \frac{1}{k}\frac{x^k}{k!}$,1
2038,How do I find y' in this problem?,1
16791,"What determines testosterone exposure in womb, baby's genetics or mom's body?",0
21707,Implementing the Barabási–Albert model,0
2771,Find the roots of these two polynomials.,1
3592,Trisect a square on its sides. How many isosceles triangles can you find by connecting three of the dots?,1
6257,Find an implicit solution to $y ^ { \prime } ( x ) = \frac { x ^ { 3 } } { 2 y \sqrt { 1 + y ^ { 2 } } }$,1
18574,Complexity of ANOTHER HAMILTONIAN CIRCUIT problem,0
15952,Are there animals which can see movements better than shapes or colors?,0
14725,Is the structure of human brain white matter fixed at/near birth?,0
10674,How do I differentiate this function?,1
5719,Taylor limits with sine,1
2886,Topological definition of intersection multiplicities of algebraic varieties,1
2429,suggest textbook on calculus,1
3062,Fiber of fibration of simplicial sets,1
1671,Use strong induction to show for every positive integer n that if $p|a^n$ then $p|a$,1
9576,Characteristic function is an identification function,1
10658,Showing a function on $\mathbb{R}^2$ is a surjective and continuous,1
17195,what is the integral of PAR radiation over total solar radiation,0
11710,Let $A$ be a ring and $I$ an infinite set. ¿Does $A^{(I)}\cong A^{(J)}$ implies $|I|=|J|$?,1
18312,Write a function to print numbers,0
22827,Is it worth to use if-else statement as Java optional pattern?,0
23955,Password Entropy in Lazarus (Delphi-like),0
13096,What effect does ambient temperature have on the cardiovascular system?,0
7071,Good reference on the parametrization of SU(3) and SU(N),1
14662,Can you extract specific data from EEG,0
15537,Where can I find extensive information on animal blood types and transfusions?,0
13903,Why and how do red bone marrow concentrations in humans change during traditional aging?,0
17439,Why is it harder to sequence plant genomes than animal genomes?,0
20398,Splitting a command line into key/value pairs,0
16461,Why does muscle tissue have relatively constant AMP + ADP + AMP?,0
782,How many distinct pair of boxes of exact size = 2 can I form from $n$ distinct elements?,1
23924,What is combinatorial explosion?,0
4315,Find the inverse Laplace transform of $F(s)=\frac{e^{−6s}}{s^2+0s−16}$,1
20728,Constructing a tree from disjoint graphs,0
10573,asymptotics involving $\Gamma$ functions,1
22875,Bin-packing satisfiability rather than minimization,0
11017,what is the square root of 144,1
14566,What is the purpose of the viscous gel in the Pacinian corpuscle?,0
21549,Rails query for all questions in tournaments that a user participates in,0
11606,Graph Theory as an approach to Category Theory,1
3997,Why doesn't the order of permutations matter when I build Riemann surfaces à la Hurwitz?,1
10124,Embedding of $\mathbb{Q}$ in $\mathbb{R}$ respects $\leq$.,1
22365,Determining whether a string can be rearranged into a palindrome,0
17190,Optimization of annealing temperature,0
11151,Homology of disjoint union is direct sum of homologies,1
21368,Crawler with BeautifulSoup,0
22866,Numbering of vertices in RAM model,0
3117,Which one of the following ideals is radical?,1
12908,Identification of a mammal in cage,0
13724,Can we use cancer cells to generate blood vessels?,0
20687,Bin Packing across multiple iterations,0
7091,Integration by parts for functions not n times continuously differentibal?,1
22289,Why are these functions slower than BigInteger's included methods?,0
3756,Convergence Rate and Complexity of Single SGD update for Neural Networks,1
22814,Thread-safe cache using a linked list,0
19671,Relation between Hamming distances of columns and rows,0
774,Homomorphisms from Dihedral groups to Cyclic groups,1
18060,PHP subset of 2 arrays containing objects - compared only by 1 attribute,0
7131,Is $\overline E$ the set of limits of all convergent sequences in $E$?,1
18641,Diagonalization argument for MAJORITY,0
20430,Why do low fitness individuals have a chance to survive to the next generation?,0
12678,What is the mechanism responsible for the periodicity of hiccups?,0
15577,Why is the resting potential of a neuron so close to the equilibrium potential of K⁺?,0
9085,"Iterating over ""triangular"" portion of a 4D matrix",1
15113,Can you answer Ray Comfort's question on Biological Evolution?,0
12279,Conservation Law in Gene Regulatory Network modelling,0
2587,Upper semicontinuity of $dim_k(m_y/{m_y}^2)$,1
3572,Proving an implication in a linear regression,1
8329,Designate set $ \lbrace n \in N : 2^{n-1} | n! \rbrace $,1
15053,How does HIV know to attack specific immune system cells?,0
23442,Run arbitrary INSERT INTO SQL Query using parameters,0
4184,Describing the action of T (linear transformation) on a general matrix,1
20273,Universal binary rewriting system,0
21015,Small LP for directed min cut?,0
19926,Digital root recursive function,0
18115,Averaging a set of percentages between certain important levels,0
13955,Woodland outdoor microscopy advice,0
14715,Validity of measurements of respiration in isolated mitochondria,0
3181,Derivative with constant in the denominator,1
12902,LD50 of Botulinum Toxin,0
374,Verify Lipschitz condition,1
20288,Possible memory-leak on a self-removable event handler,0
9965,"What does ""smooth"" mean? (Numerical Analysis)",1
23658,Compressing normally distributed data,0
310,Minimum value of an integral.,1
13821,How does heredity work with Endogenous retrovirus?,0
22776,ReactJs stateWrapper for nested state objects,0
7492,induced sequence of an exact sequence of G-modules,1
20923,Removing random repeated guesses from brute force program,0
10001,Finding $b$ and $d$ such that $2x^4+ax^3+bx^2+cx+d $ has roots $x=\sqrt2-3$ and $x=3i+2$,1
11985,combinatorics & probability problem,1
18433,Boolean circuit with two inputs and advice input is hard-wired,0
4463,How many number of three digit numbers lying between 100 and 999 (inclusive) and having only two consecutive digits identical?,1
19774,Getting integer values and one CSS class name,0
12056,"Why do genetic testing companies (FTDNA,AncestryDNA,23andme) express DNA shared in centimorgans (cM) instead of in number of base pairs or in percent?",0
12040,What is a good biochemistry reference for reading papers about metabolic pathways associated with human disease?,0
10722,Is refinement of a composition series a composition series?,1
12524,Why is freezing bacteria not a problem?,0
13915,Bird identification by sound; midwestern US,0
15235,I added ethanol to my TRizol RNA extraction,0
3708,Bayesian Gaussian Mixture model,1
22994,on-the-fly decompress a flat-file database,0
5146,matrix analysis and rank of matrix,1
8308,Understanding Kramers-Kronig relations,1
17516,Which organism built this 2 cm long sandy tube?,0
23518,Closure properties of undecidable languages,0
8277,How to show this function is not continuous?,1
21899,Generic DialogueBox class with different parameters,0
15348,How to check if a population density obeys replicator dynamics,0
4067,Countable ordinals in the reals,1
12979,What's the role of bromelain in pineapple?,0
21753,Neatly printing integers interspersed with spaces,0
1504,A question in Rolle's and MVT theorem,1
11185,The length of Christmas Tree Lights wrapping a conical tree from bottom to top with uniform vertical spacing.,1
11123,Quadruples of integers with $20^x + 14^{2y} = (x + 2y + z)^{zt}.$,1
6302,Probability conditioned on disjunction of events,1
12312,Do people with congenital analgesia feel cold?,0
23398,Negation of nested quantifiers,0
2762,Any tips for solving problems like this?,1
2878,Logarithm in a convolution,1
20147,finding common navigational paths / central nodes within a graph,0
21008,Immediate positions algorithm?,0
5425,Mixed Nash equilibrium in two players game three stategies,1
2178,Boolean prime ideal theorem and the axiom of choice,1
93,studying the series $\sum_\limits{n=0}^\infty \tan (\frac{n}{1+n^3})$,1
8043,switch the colour until only one black square is left,1
22573,How come Datagram Packets between same source-destination pair may take different routes?,0
5895,Odds of nonconsecutive number draw,1
16913,How well supported is the hypothesis that aging is mainly caused by the number of mutations in tissues?,0
6826,"Solving the system $\cos x+\cos y+\cos z=\frac32\sqrt3$, $\sin x+\sin y+\sin z=\frac32$",1
10843,Pairwise intersection of parts in two set partitions gives a new set partition,1
16688,Calculate growth rate of a population by Leslie matrix,0
3805,"Calculation of Local homology groups.$H_*(K,K-x,\mathbb{Z})$?",1
2254,Find distance between two curves on plane using calculus of variational,1
14150,Why are both glucagon and cortisol released in hypoglycemia?,0
84,How to show that sigma algebras generated by different RV are the same,1
5692,Stokes theorem for manifolds with corners,1
11133,Confusion in notation and terminology; Multiplicative group; Reduced norm;Source :Topics in Galois theory Serre,1
3620,"How to solve $a^x=x\,(\text{mod } 10^{12})$",1
7104,Taylor expansion of logarithm function.,1
7083,Reference for a combinatorial identity (likely redundant),1
12898,Is $F_{ST}$ a probability and a correlation coefficient?,0
15482,Under what circumstances does Batesian mimicry evolve?,0
7171,Find the locus of a point which moves so that the tangents from it to a circle are at right angles.,1
10450,A Question on Lebesgue Decomposition,1
7328,"Evaluation of $ \int_{0}^{\pi}\ln(5-4\cos x)\,dx$",1
1234,Stationarity of the sum of an ARMA processes,1
9064,Solve the congruence relations for x,1
4579,"How could I describe a function whose domain is x>=1 for integers, starts at 3 f(1)=3, then multiplied by 2 f(2)=6, then by 3 f(3)=18, repeat",1
138,"In a game of drawing straws, why are all turns equally good?",1
4755,parallel translation within geometrical form with two different heights,1
7275,How to calculate expectation of Cantor distribution without using p = 0.5,1
23747,Find the area of the bounding box of a robot's moves on a grid,0
3631,Convergence of sups of sequence of compactly supported continuous functiosn,1
23115,Number of words within Hamming distance $\delta$,0
5671,Well defined function involving quotient spaces,1
10754,Lesser-known integration tricks,1
1870,Angles of lines tangential to a circle,1
13754,How do you estimate global species richness?,0
9926,"If $U,H$ are Hilbert spaces, then $X:\Omega\to\mathfrak L(U,H)$ is measurable iff $\langle X,h\rangle_H$ is measurable for all $h\in H$",1
4254,Largest Arithmetic Sum of Relatively Prime Numbers Under 30,1
1436,Holomorphic functions: is it true that $f(\bar{z})=\overline {f(z)}$?,1
16075,How does this diagram illustrate carbon cycling in lakes?,0
17812,"what these suffixes mean,-coel,-blast,-cyst?",0
17689,Help me identify this insect,0
14307,Is the Andraka pancreatic cancer test real?,0
15721,"What does ""Psychomodulatory"" mean in the context of potentially psychoactive drugs?",0
3778,"Any good definition of a ""locally consistent"" theory?",1
1915,Algorithm to calculate price based on number of units,1
17918,"Are there any evolutionary reasons for the different tree shapes? If so, What are they?",0
5680,Mapping from Poincare's disk model to UHP,1
20948,"Centre, diameter, and radius of graph",0
16210,"Do beneficial viruses exist? If so, what examples are there?",0
10725,Please solve this syllogism.,1
10964,Epsilon delta proof for divergence as $ x \rightarrow \infty $,1
21119,Calculating total number of calories burned,0
17558,Thermodynamics of spontaneous protein folding: role of enthalpy changes,0
10912,Question on products of polynomials,1
994,Is the ring of analytic functions at the origin the localization of the ring of analytic functions on $\mathbb{R}$?,1
13454,Why are carbohydrates the most common short-to-medium-term energy storage form in biology?,0
10418,"Does boundedness of $g(x,y)$ imply continuity of $f(x,y)=x\cdot g(x,y)$",1
10588,Distribution of Primitive Pythagorean Triples (PPT) and of solutions of $A^4+B^4+C^4=D^4$,1
2095,Complex Integration with a Modulus,1
9202,Explanation of OEIS:A000046,1
5855,Using GAP to determine when cosets are equal to each other.,1
14533,Appropriate regeneration of StrepTrap HP columns for FPLC,0
18162,Simple boolean gate with two TriState inputs,0
13236,Does the creation of memory involve mRNAs crossing the synaptic gap?,0
7930,Comparing discrete sums and integrals,1
9938,Convergence/Divergence of a particular infinite nested radical,1
8202,a probability/ random walk brain teaser,1
15988,Interpreting qPCR curves: how to find Ct value in my case?,0
19310,"Large dataset with pyspark - optimizing join, sort, compare between rows and group by with aggregation",0
12170,What is the difference between a response element and a enhancer?,0
19981,Data Integrity Through Custom Variable,0
20725,Wrapper for caching methods in ASP.NET,0
11055,Scalar curvature and convexity,1
15480,Is too much CO2 in the air toxic?,0
17192,How are commercial steroid hormones produced?,0
8868,Derivative of arctangent,1
21420,Remove last word from string,0
7302,Joint uniform distribution two different intervals,1
10789,Determine using the comparison test whether the series $\sum_{n=1}^\infty \frac{1}{\sqrt[3]{n^2 + 1}}$ diverges,1
21242,Testing after_save hooks in Rails 4.2 with MiniTest,0
16945,Are different eye colors indicative of chimerism?,0
16238,Can a human increase cold resistance through some practice?,0
20000,"In index allocation scheme, what parameters does the maximum size of a file depends on?",0
21102,Reading keyboard input,0
7903,Real Analysis 1 vs Real Analysis 2?,1
14552,Why don't birds in flocks fly into each other?,0
18066,Data structure to count occurrences of words,0
8624,"Is a Fermat's little theorem ""recursive"" case possible?",1
21122,Extrema and saddle point of 3D field at different scales,0
15212,Did the Britons 100 years ago have different intestinal flora and fauna?,0
22315,"Find all pairs (i, j), such that i + (i+1) + (i+2) + ... + j = n",0
8939,How to compute hyperbolic angle between a vertical geodesic and a circular geodesic?,1
23938,How to determine if this problem is decidable?,0
16152,Why does a light object appear lighter in your peripheral vision when it's dark?,0
19771,Send messages in TCP-based communication system,0
5238,Maximisation subject to an integer constraint,1
10578,Calculate the value of expression.,1
347,Given parallelogram $ABCD$ with $M$ the midpoint of $AB$ and $E$ the foot of the altitude from $C$ to $AD$ (extended). Show $ME=MC$.,1
3125,Ways to put $n$ balls into $m$ boxes,1
18037,Should a Factory ever be generated per request?,0
18508,"""Grammar inference"" for 2-D images",0
20067,Most occuring digit in an array of numbers,0
4387,"Given $f(x) =x^4 + 2x^3 + 6x^2 + 8x + 8 $, why is $f(3) = 65$?",1
4997,A set $A$ is nowhere dense if and only if every non-empty open set has a non-emtpy open subset disjoint from $\overline{A}$,1
23626,"Search in deeply nested array by array of ""path ids"" and exchange it",0
5548,"Knowing that m and n are two positive integers, solve the equation m/n = n.m (ex.: 5/2 = 2.5)",1
17866,How much generation of hamster's family it takes to get first bad mutations,0
23884,"If a predicate is not computable, what can be said about its negation?",0
19198,$\omega$-string avoiding a set of substrings,0
46,How does one visualize sequence of derivatives and functions in a same diagram?,1
19766,Non-recursive (iterative) DFS with $O(n)$ size stack,0
19841,js oop best practise,0
8356,"Show that the notation of ordered pair as $(x,y) :=\{\{x\},\{x,y\}\}$ obeys the property that $(x,y) = (x', y')$ iff $x=x'$ and $y=y'$",1
18223,Validation for Model Object using Fluent Validation,0
21021,Approach to download files through POST request,0
20026,Ruby code to parse and analyze social media stats in json format,0
21839,How do we pick and switch hash functions from a universal family?,0
2055,Principal submatrix unitary matrix normal,1
4556,A group of order $ap^{n}$,1
22334,Efficient Django model for blog post,0
15651,Human Endogenous Retroviruses,0
17419,Function of papain in papaya,0
3116,Analytic Bounds for Eigenvalues of a 2x2 Block Matrix,1
13032,Pain perception in animals with nerve nets,0
9176,Does the identity element of a group have an inverse?,1
14326,Why is secretin sensitive to acid?,0
20276,Is $\log{n}$ bounded from above by $n^{o(1)}$?,0
9152,How do I simplify(expand) this Boolean expression?,1
3852,"Is $R=K[\![x^3,x^2y,xy^2,y^3]\!]$ a Gorenstein ring?",1
8060,sum of reciprocal power-1,1
23422,Search through fortran source for a string ignoring comments,0
8306,Degree of an induced map on $\mathbb{CP}^n$,1
23551,"Beginner Rock, Paper, Scissors in Java",0
20874,Number of 1 child nodes in a binary tree,0
602,Prove that a partial equivalence relation in set Dom(A) is an equivalence relation,1
9571,Writing a nonrecursive formula,1
16785,How long does it take for DNA to degrade,0
13835,What is the general term for tree-dwelling animals?,0
13461,"If a receptor is inhibited throughout embryogenesis, could there be observable phenotypic differences in the adult?",0
18026,How to implement HasMany() relationship with PHP?,0
9750,show that: $\vec \nabla^2u=u''+2u'/r$,1
18678,How does the OS detect B&B violation from hardware?,0
11637,Prove that the following polynomials are irreducible:,1
14252,What are the main mechanisms of interaction between the nervous and immune systems?,0
6187,Numbers that are clearly NOT a Square,1
4775,"Evaluate $\int_0^1 \frac{\ln (1 - x) \ln (1 + x)}{x} \, dx$",1
14997,Reflex muscular activity in three months old fetus,0
23396,Question regarding a particular type of graph,0
10485,Singular Value Decomposition proof - Why does U need to be an orthonormal basis?,1
7402,"How to prove that $\frac{d}{dt}|_{t=t_0}(\theta_t^*A)_p=(\theta_{t_0}^*(\mathscr{L}_VA))_p$, 12.36 in Lee's Introduction to Smooth Manifolds",1
19573,How to deal with elimination of duplicate logic vs. cost of complexity increase?,0
12774,Do organisms have a mechanism to control how fast mutations occur?,0
13690,"What effect do oligosaccharides, like those found in legumes, have on the composition of intestinal flora in humans and if so how so?",0
21832,Returning JSON from GeoDjango QuerySet and Display using jQuery/AJAX,0
18022,Rendering and re-rendering a Mustache template,0
18603,Arranging Buttons on a Process Enumerating Application,0
5842,Applying linear algebra to solve a problem in mechanical equilibrium,1
23138,Return True if num is within 2 of a multiple of 10,0
12749,How do our muscles get tired?,0
18289,JavaScript nesting XMLHttp requests and in a loop,0
21031,Correctness of splitting an undirected tree into a forest of trees with even number of children,0
11178,Spectrum of spectrum in the stable homotopy category,1
14129,"Is there a color changing organism that is by default translucent or otherwise ""colorless""?",0
2277,When there a subgroup isomorphic to $H\times K$,1
4036,Best approximation. Hahn Banach theorem.,1
13465,How do I interpret this graph regarding introduced genes and virus-infected cells?,0
5377,Use of GCD Distributive Law in proof of Euclid's Lemma,1
16912,Potato with purple veins!,0
8921,$2^{prime} = {prime}*x+1$,1
4082,Proving a partial sum with induction,1
17306,Why does yawning trigger tears?,0
508,Limit point of isolated singularities,1
15887,Example of impossibility in the nested hierarchy?,0
16792,What is happening with this hummingbird and how can I help him?,0
17968,Can the brain influence gene expression?,0
2723,Show that $1<|G:\ker\psi|$ and that the index $|G:\ker\psi|$ divides the order $|G'|$,1
7464,Invertibility of $(A - \lambda I)$ in $(A - \lambda I)\mathbf{v} = 0$. Eigenvectors and eigenvalues.,1
10521,Integral with a Dirac Delta and a Heaviside Theta function in statistical mechanics,1
7536,Find all polynomial functions,1
12977,Laurasia and Gondwana,0
7964,free polynomial algebra,1
7811,How to solve $y' + y^2 - 2y\sin x + \sin^2x = \cos x$,1
4951,I need to find $v$ so that $v\times v'$ equals $A(n \times n)$,1
9120,"If function $f$ and $g$ aren't Riemann integrable, can the function $f+g$ be?",1
5139,What does the p-harmonic series converge to when p = 1 + ε?,1
21778,Definition of 'Record',0
15220,Cicada Killer Behavior,0
16420,What is cytoplasmic localization?,0
20793,How do you go from $\log P = \log N$ to the next step?,0
13775,Why does enteral carbohydrate yield higher energy than parenteral?,0
2995,Conditional Probability Question (Prizes),1
17661,What are some good examples of open-source articles in which the synergy of two medicines is demonstrated?,0
10007,A special presheaf of rings over the spectra $ \mathrm{Spec} A $.,1
15898,SARS-CoV virus stability at low temperatures,0
20205,"Meaning of the ""why not"" modality from linear type theory?",0
16769,Why do the feet of the Gecko Lizard not stick to Teflon surfaces?,0
6475,Example of a sequence that converges numerically to a limit other than its true (algebraic) limit,1
7980,Find all equivalence classes?,1
17859,Does vegetable oil allow methane to pass through?,0
12280,How does the matter that makes up the fat of your fat cells ultimately leave your body--following weight loss?,0
18399,Iteratively process an identically named file all subdirectories and plot analysis to root directory,0
17268,Is there a surface or body cavity that does not have epithelium?,0
9521,Topology of a circle,1
20594,How to correct distortion from stitching dual camera to estimate homography,0
18841,Hash Table: How to Calculate Max Load of a Bucket in Practice,0
14072,What kind of species is this?,0
13216,How are epiphytes symbiotic?,0
16655,Lyonization vs Genetic Imprinting,0
