,question,target
2125,"Why does ""guess and verify technique"" not involve circular reasoning?",1
6622,Visualizing secondary RNA structure binding to target,0
4001,Properties of rad A in rings.,1
160,"$f(x,y) = (1- \cos(\frac{x^2}{y})) \sqrt{x^2+y^2}$",1
4406,There exists an infinite group with only one subgroup of infinite index.,1
3297,"If $f: \mathbb{R}\rightarrow\mathbb{R_+}$ is concave and strictly increasing, must there be an $A \in \mathbb{R}$ so that $df/dx|_{x=A}<\epsilon$",1
8379,Is exon order always preserved in splicing?,0
1631,"Automorphism group of $F$, where $F$ is the quotient field of the integral domain $R=\Bbb Z[x]/(x^3+x+1)$",1
1710,"show that equality $\displaystyle\frac{1}{a}-\frac{1}{b}-\frac{1}{c}=0$ hold when a,b,c are triangle sides",1
101,Compact covering of a compact set.,1
5747,Coproduct in the FdHilb category,1
4033,An integral which is derived from Jacobi's Sum of Two Squares Theorem by Complex Analysis,1
10476,Possibly mixing prototype and module pattern,0
6983,"What does ""Activation"" refer to in the context of the symptoms of Schizophrenia and Schizoaffective Disorder?",0
5122,How does one prove that if $\cos(t) = \cos(t')$ and $\sin(t) = \sin(t')$ then $t = t' + 2k\pi$?,1
2454,Every Riemannian metric is a pseudo-Riemannian metric,1
8453,Is a sequential double transformation acceptable?,0
8750,What is the best way to analyze non-quantitative mass spec hits from an immunoprecipitation pull down?,0
3387,Working on the topic of continuity of a function at rational and irrational numbers,1
6142,What cell types comprise the median eminence and the tuber cinereum?,0
2380,Optimal stategy in 'asking for pie' game?,1
7137,Do mutations come in pairs?,0
2359,a Problem about Special Sequence,1
4759,Is a nonsingular matrix not the same as an invertible matrix?,1
2342,Proving a language is regular or irregular,1
5639,Prove the following equalities about matrices,1
6292,Protostomia classification and characteristics,0
9688,Comb sort average complexity,0
9951,Segmented address / normal virtual address,0
1623,How can I rearrange this logarithmic formula to be computer friendly?,1
10928,Why do we need the valid-invalid bit in a page table?,0
1564,In how many ways any number of numbers can be chosen from N natural numbers with given conditions,1
10870,Sum of absolute difference of values and corresponding indices of an array,0
5363,Given a curve over $\mathbb{P}^1$ how can I determine the monodromy around a ramification point?,1
8133,Hardy-Weinberg applied to three alleles and stimation of allele frequencies,0
6342,Chiral (a)symmetry of curly hair (and fur),0
4446,Orbit counting lemma hexagon,1
347,"Counting with Combinatorics (Just need my work checked over, pretty sure it's right)",1
5605,Solving $2\sin\theta\cos\theta + \sin\theta = 0$,1
2196,"How to prove $n^x \in o(a^n)$ for $x>0$ and $a>1$? formally, without using limits.",1
10483,method to decide if two strings are anagrams,0
8308,Exclusion Limit and permeability of outer membrane,0
10653,Convert float price to integer price without commas,0
11930,1-dimensional and 2-dimensional Peak Finding Algorithm,0
6677,Preferred Aspect Ratio for Human Eyes,0
3077,"$\frac{1}{2}(x-y)$ is prime where $x,y$ are distinct odd primes and $y^2 + y$ divides $x^2+x$",1
9232,"Trig based functions in sfml, angling of sprites",0
10122,Custom multiple div appends in JavaScript,0
9206,Firefly algorithm number of objective function calls,0
3011,Find the angle between planes given three lines,1
6756,How do macromolecules (large drugs) in the eye reach the bloodstream and what are the relative significances of these pathways?,0
7727,"During the process of plasmid isolation, how can we be sure that only plasmid DNA has been isolated and there is no chromosomal DNA?",0
2797,"Existence of differentiable matrix maps $M(3,\mathbb{R}) \rightarrow M(3,\mathbb{R})$",1
5988,Express each of these statements using predicates and quantifiers,1
1195,How to calculate co-ordinates after deformation,1
10999,Minimum number of edges for $n$ vertex graph to be connected,0
6831,Reusing frozen blood,0
173,Space of weakly Cauchy sequences,1
11566,Algorithm to find a all valid matrix permutations,0
1630,Can you pick a set of $k$ primes $p_i$ with all $p_i \equiv 1 \pmod 8$ and $(\frac{p_i}{p_j})=1$ for all $i \neq j$?,1
10287,Derive a while loop (which seemingly have some logarithmic traits) runs in $\Theta(n)$,0
5118,Non degenerate optimal solution in primal  non degenerate optimal solution in dual,1
1267,Characterization of the epigraph of a lower semi continuous fuction,1
6931,Why is it thought that protein folding is determined solely by amino acid sequence?,0
6295,Does pheomelanin have a useful biological function?,0
7240,Why do pigeons kill their chicks when touched by a human?,0
981,Prove that the matrix A is positive definite.,1
11470,Converting HEX values to Unicode characters,0
6038,Beetle Identification - Oregon,0
8480,What triggers the switch between aerobic and anaerobic respiration?,0
483,If $ X^2 -a$ has a zero in $\mathbb{Z}_{p^k}$ implies also zero in $\mathbb{Z}_{p^{k+1}}$?,1
1756,proof of $a ≡_n b → a^2 ≡_n b^2$,1
6486,how do I find the number of bp in chromosome 3 by knowing number of bp in chromosome 1?,0
7840,Why is Capsaicin injection not used instead of nerve surgeries for pain?,0
3835,Average height of a semicircle. Why are these different answers?,1
10979,Vertical sticks challenge explanation,0
3025,A slightly tricky inequality,1
824,"I want to know what is the relation between network flow min cost problem and max flow problem with simplex method linear programming,",1
946,"Finding $\sin\left(\cot^{-1}\frac{x}{2}\right)$, trouble understanding the solution",1
8451,Why do eggs lack an endoplasmic reticulum?,0
6243,What is the smallest known viviparus,0
5208,isometric quadratic spaces over a prime field,1
10419,Improving the flexibility of my library/what can be improved?,0
1354,Understanding wedge sum,1
8207,Is a fatty acid a polymer?,0
9889,Using singleton pattern for a MySQL connection,0
1794,How can I solve this bearing question?,1
9821,What is the expected number of nodes at depth d of a tree after i random insertions,0
6420,"Indirect lineage sorting between human, gorilla and chimpanzee, does it exclude loci reversals (for example on chromosome 12?)",0
252,Arithmetic of Polynomials,1
3623,The Barcan schema in Modal logic,1
1646,$g(x) = 1/(1+x^2)$ is continuous everywhere epsilon delta approach,1
2539,Why Polynomial bijection between sets so important in mathematics?,1
3909,Intersection of a curve on an exceptional divisor with the exceptional divisor,1
1227,"Absolute convergence of $\sum_{m \geq 1 , n\geq 1} \frac{1}{m^\alpha+n^\beta}$ where $\alpha,\beta > 2$",1
9102,"an appropriate data-structure to represent a family of sets (Which supports exactly MAKE-SET(x), UNION(S1,S2), REPORT(S))",0
11479,Freeing allocated memory: am I missing something?,0
7121,Correlating Ki values of pesticides to bacterial growth,0
6135,UACC-462 cell culture,0
11278,Number of iterations of the Euclidean algorithm,0
4249,Do all positive elements in a C* algebra commute?,1
9463,Summation with floor in upper bound,0
9337,Number format in JavaScript,0
2968,"Is a ""triangle"" with two right angles still a degenerate triangle?",1
1209,How can $A/P^c$ be viewed as a subring of $B/P$?,1
5849,Explicit formula for the summation of a geometric series,1
506,Why is 's' positive?,1
1050,"Proving that X,Y,Z in Quadrangle is collinear using axiom P5",1
11333,Using model view presenter (MVP) in C# code,0
8817,Can I kill bacteria with distilled water?,0
2432,A question about the definition of group $C^\ast$-algebra,1
10983,Find all words that satisfy unknown letters (Hangman),0
7656,Explanation about cytogenetic notation,0
3966,Intuition/geometric interpretation of this inequality with a constraint,1
2744,Prove that $G$ is either the trivial group $\{1\}$ or isomorphic to $\mathbb Z / 2 \mathbb Z$.,1
11371,Exclude scores when flag is set,0
1405,How can I prove what a particular series converges to?,1
9879,First-order vs Higher-order Programs,0
8462,What is this flat dry stick-like leaf that rattles?,0
3078,Proving the universal mapping property for polynomial rings,1
9799,Criticism on x86_64 nasm assembly strToInt and printInt implementation,0
982,Show that $\sum_{n=1}^\infty \frac{1}{(\log(n))^p}$ diverges,1
11099,A Fraction class in C++,0
6630,What is the composition of human feces?,0
4980,Conditional Expectation a Decreasing Function Implies Covariance is nonpositive,1
2398,Problems With Divisors,1
2273,Median poker hand (Texas Hold’em),1
8855,Taxonomy and morphology of marine fish,0
11680,How to put elements in allowed bags?,0
9916,Web-scraping through a rotating proxy script,0
9666,Runtime compiler for getting/setting runtime property values,0
5709,An affine property of conic sections,1
7742,"What kind of memory is ""keyboard/keypad memory""?",0
5477,Mandelbrot precision target the center of a pixel?,1
8578,Can the eye distinguish between pure and composite colours and how do we measure this?,0
6590,Test question regarding botany,0
6670,Are these images of carpenter ants?,0
8403,What is the mechanism by which lamins regulate gene expression?,0
4804,Prove that $\mathbb{Q}+ \mathbb{R}$ is not order isomorphic to $\mathbb{R}+ \mathbb{Q}$: is my proof correct?,1
8972,Is there a vertical measure of appearance of a genotype over generations?,0
9667,Displaying data from from many-to-many table,0
6519,Can animals use the nitrogen in chitin to build proteins?,0
4107,Two quick questions about suprmums and real functions.,1
8302,Identification of Anoles,0
4297,Choosing a contour for this integral,1
10108,Computationally efficient way of comparing and merging like object keys,0
11862,Time units required for Interrupt Cycle,0
4101,What is the $\lim_\limits{x \to 1+}\left(\frac{3x}{x-1}-\frac{1}{2 \ln(x)}\right)$?,1
5858,"How do I solve $\lvert \mathcal P(\{ 2,3,4 \}) \cap \{X : \lvert X\rvert = 2\} \rvert$",1
6194,Does some form of self organizing map exist in the brain?,0
3230,Explaining Ito's Lemma,1
4350,How to tell if a columns of matrix are linear dependent?,1
3953,Bayes' Net Conditional Probability,1
1022,Canonical form of a Quadratic form.,1
11877,Is the complement of a semidecidable (r.e.) language always a semidecidable (r.e.) language?,0
1324,Prove the following trig identities,1
3239,"Simplest expression of a stair-like sequence with start, end, height of each stair known?",1
7711,Genomic library preparation: Why does the restriction enzyme not cut into the gene?,0
5431,Proving an inequality with convexity,1
806,$\mathbb{Z^3}$ Simple Cubic Lattice,1
2228,Sum of the inverses of numbers with $n$ divisors.,1
2096,two converging sequences results in third,1
2339,Continuous extension of the limit functional,1
3469,Why do these limit cycles appear?,1
10463,"String Search - how to find the ""most"" accurate string?",0
218,Blow up of $\mathbb{P}^2$ in a point and direct image sheaves,1
3506,Inverse Fourier transform of $(z-i/2)^{-N/2}$,1
287,Friction as differential 1-form,1
5175,Form a compositional identity function,1
2292,Exact value of Hausdorff measure of middle-third Cantor set,1
1041,$\lim_{n\rightarrow\infty}\int f_n d\mu = \int fd\mu$ over finite measure space with conditions which are similar to uniformly integrability,1
1464,find the partial derivative for $e^{xyz^6}$,1
5835,Subtle question concerning intersection of convex sets,1
10278,Convert an integer to 4 bytes without bitshift operators,0
11030,Enum list to STL container,0
11789,Volatility updating with Heston-Nandi model,0
11061,The Rust Programming Language Pig Latin Exercise,0
8970,Is it more likely to develop a throat-ache at night?,0
9865,Changing look and feel for all current frames,0
5677,How can I prove the following logic equation?,1
3173,Proof radius of convergence for zero and infinite (power series),1
9595,AVL Trees Height-Balance Property,0
5864,Proving that Fermat Numbers are coprime,1
3754,Finding a curve with a condition on winding numbers,1
3669,Convergence of This integral?,1
405,Tensor equation of a line,1
705,What is the best way to learn Differential forms?,1
1604,"What is meant by a ""$S$-strictly diagonally dominant matrix"" in the book 'Geršgorin and His Circles'",1
10577,Blink Text with JavaScript,0
11813,"Stream ""on the fly"" from matrix",0
1403,Limit of the complex polynomial,1
6874,Does the hepatic portal system form capillary beds?,0
11046,NTIME(f) subset of DSPACE(f),0
2859,"How I can prove Ramsey number R(2,3,4) > 8?",1
11313,"What is the name for this ... (alerting when threshold is exceeded, but only if dropped enough below threshold first)",0
1702,showing a matrix has a right inverse,1
5444,Supremum and infimum of a bounded real valued function,1
7783,Does vaccination lead to short-term secondary infection suceptibility?,0
2210,What does semi-colon mean in function parameters?,1
6637,"How can a homozygous mutation, considered pathogenic, occur on a gene such as HFE without the disease developing?",0
10895,How can I improve this PHP MySql Rank generation function?,0
3943,Prove that a circle has an infinite number of tangents,1
8986,Can cognitive enhancement from exercise be replicated/replaced through prolonged standing?,0
6947,Effects of HRT on transgender(M to F) physiology and athleticism.,0
10379,bad GNU libc argp code,0
9366,Applying EF core in Universal Windows Apps using a large database,0
6204,What is the name of this beautiful white trees?,0
505,Evaluating Limit Without L'Hopital,1
8095,Which concentration of BSA is recommended for dynamic light scattering experiments?,0
2236,Where do we need absolute values when solving $u'(t) = \frac{u^2(t) - u(t)}{t}$,1
10239,Parsing molecular formula,0
10198,Count the number of leaders in both sides (slices) of an array in C#. Codility EquiLeaders task,0
5042,Why two vectors cannot span ${\bf R}^3$?,1
7860,Construct a restriction map of a linear fragment of DNA using the following data?,0
3097,"Show that $K[X^3,X^{11}]$ is a noetherian domain. Is my proof correct?",1
10454,MaxFlow Problem MinCut,0
485,Difference between crossing and touching curves,1
4109,How can I find the horizontal asymptotes of the function $y=\frac{x-3}{\sqrt{x^2-9}}\:+2$?,1
707,Minimizing a sum of exponential functions,1
5124,Unit ball is compact in a normed vector space - specific proof,1
7424,What flying insect is this?,0
7839,advantages of shivering in cold environments,0
6427,Difference between Cary-Blair and Amies transport media for Staphylococcus and Streptococcus?,0
9804,"Hello, First Name Last Name",0
5595,Guessing the value of $n$,1
661,Theta Functions and Partitions,1
11027,Metaclass to run a __first__ method for the first instantiation of a class,0
7143,Polarized epithelium and localization of ion channels,0
7522,Are there journals for theoretical models of protein-protein interactions?,0
4281,Are 2 norm and infinity norm equivalent in an infinite dimensional vector space space,1
9233,Xamarin Forms with Ninject navigation service,0
1696,Beta-PERT distribution shape parameters division by zero?,1
2654,Nilpotent Elements and Units,1
2417,"1-1 correspondence between [0,1] and [0,1)",1
5358,"Show G is a group only knowing associativity, G is finite, and cancellation laws",1
7472,Volley theory and sound amplitude/power,0
8044,How are cell death like apoptosis and entropy related?,0
1814,Dual of generalized Reed-Solomon code,1
5412,Scale Rectangle B so that it covers rectangle A at any rotation,1
10349,Turing machine that decides $A=\{0^{2^n} | n \ge 0 \}$ with an alphabet of two symbols,0
1842,How Do You Show That There Exist Infinitely Many Organic Tautologies?,1
2709,"How determine all functions $f: R \mapsto R$ differentiable, are not identically zero and such that $f(x)= x f^{\prime}(\frac{x}{\sqrt{3}})$?",1
5682,Rabin's test for polynomial irreducibility over $\mathbb{F}_2$,1
9075,Databases and B-Trees: What are Keys and how are they related,0
9737,Conflict Driven Clause Learning backtracking clarification,0
6438,What is doubling of genetic material invented in flowering plants?,0
8426,What is the biochemical explanation for tingling and burning sensation in brain due to certain food?,0
6869,What is GST RhoA fusion protein?,0
7336,Can someone tell me what these cocoons are?,0
3181,Compact convergence of a series of functions,1
9105,Random song playing app improvements,0
7238,Can a vaccine or antidote be administrated via gases or sprays?,0
11375,Bounding the recurrence $f(n)=2f(n-1)+2f(n/2)$,0
4135,Does $f+g$ differentiable imply both $f$ and $g$ differentiable too?,1
10271,Number guess game program in python 3,0
9508,Recursive statement with linq,0
9268,optimizing project euler #83 solution,0
11120,Find CISC prerequisites,0
2516,Strong equivalence of metrics that metrize the weak-* topology on the unit ball,1
9082,Script for keeping track of teams in a class,0
9007,OOP Decision Maker Class - ServerArbiter,0
448,For $a\in R$ . calculate $\lim\limits_{n\to\infty}\frac{1}{n}$( $( a+\frac{1}{n})^2 + (a +\frac{2}{n})^2+.....+( a + \frac{n-1}{n})^2$),1
10228,Confusion about the geometric interpretation of the simplex method for linear programming,0
9824,Is it possible to prove $\mathsf{BPP = NP}$ statistically?,0
11628,Defining pipelines of functions when passing a main argument across multiple functions,0
11357,The meaning of discount factor on reinforcement learning,0
7992,Protein degeneration/excretion in cell,0
5599,Generated Algebra Closed under Conjugation,1
2608,About the fact that $\mathbb Q$ has gaps,1
4913,Largest possible value of $x$,1
10402,Can nfa consume more than one letter at a time,0
10801,Building options for input fields,0
352,How to prove that $w\lambda(h)=\lambda(w^{-1}(h))$?,1
4134,How do I solve the differential equation $f(t) - f''(t) = \frac{\pi}{2e^t}$?,1
10988,Find all the paths from node A to node B,0
7846,How to secrete a recombinant protein from E. coli?,0
1284,"Number of continuous functions, analysis question.",1
5553,Problems of greatest integer fuction.,1
6336,Why some eggs are bile stained?,0
2400,Convergence of alternating optimisation with nonconvex subproblems that have unique closed-form solution,1
11695,Handling default value for int64_t representing an edge in an adjacency matrix,0
2798,Prove that $|f'(0)| \leq 1$ for an analytic function on the unit disk,1
10026,Can there exist a smaller NFA then a minimal DFA,0
9740,Simple Tip Calculator with JavaScript Console App,0
11295,Form data to object to HTML,0
6308,What is the function of the Moderator band?,0
4125,If $\sum\limits_{n=1}^\infty a_n $converges does it imply that $\sum\limits_{n=1}^\infty \dfrac {a_n^{1/4}}{n^{4/5}}$ is convergent?,1
671,What is the decomposition of the ring $\mathbb{F}_p[x]/(x^n-1)$?,1
1704,Is the matrix square root uniformly continuous?,1
