question,fact
What is the largest city on the Mississippi River?,1
What is the city of Denver like?,1
Provide a list of all numbers mentioned in the provided text and what they represent,1
What are the differences between the New York Giants and New York Jets?,1
Was Furze Hill an established community in the 19th century?,1
Should you buy new golf clubs when you are a beginner?,0
Why should I use fabric softener?,0
The former Chairman of Tata Sons died in road accident  en route  from where?,1
"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.",1
"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.",1
Summarize the rulers of the territory of Albania in this time period.,1
What is cloud computing in simple terms?,1
What is one year?,1
What types of sport fish do most anglers target in New England?,1
What is wine?,1
"Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys.",1
What's the relation between the Kushan Empire and the Sassanid Empire in Iran?,1
What is the meaning of life?,1
"Classify the below characters based on whether they are created by Marvel comics or D.C. comics
 Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman",1
Why are we like aquariums?,1
"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.",0
Who are some of the most successful golfers in history?,1
"Which is a bird or fish: Red-throated diver, Redlip blenny",1
Which types of fish contain the lowest levels of mercury?,1
How do you make an iced matcha latter?,1
What is world of warcraft,1
What is the best swimming form?,0
Which is the best place to Kayak in Austin?,0
Who is the best men's test cricket player to have come from New Zealand?,0
"What is the winter weather like in Salt Lake City, Utah?",1
Whats the difference between a bass guitar and a regular guitar?,1
What is a Gross domestic product (GDP)?,1
What is the last festival celebrated in Tihar and how long does the festival last?,1
What event John Johnstone won as a rider?,1
What are the careers of your dream?,1
Let's imagine I create a fake currency called Yarns with two types of coins: a super-yarn (worth 10 yarns) and a mini-yarn (worth 0.5 yarn). How much money do I have in total if I have 2 super-yarns and three mini-yarns?,0
What is a Mormon?,1
What is the difference between a red delicious and a Granny Smith apple?,1
Who do you think is the most powerful Mandalorian in Star Wars history?,0
Based on the following passage summarise how sunsets are viewed from the northern hemisphere across seasons.,1
What cities should someone visit during a trip to Morocco?,0
Which classical composer was deaf?,1
Who discovered the double-helix DNA structure?,1
Please provide a brief summary describing Canada,1
Why age 27 is given so much importance specially in Music industry?,1
What is Bollywood,1
What are Nanotube?,1
Write the first paragraph of a blog post describing the appeal of Boston as a tourist destination,0
What is a secured loan?,1
Should I have Kids?,0
Give me 3 ideas for hobbies that I can recommend to somebody who is retiring. These should all be activities that require gentle movement and are not overly demanding on the body.,0
"Name some reasons it's great to live in Marin County, California.",1
Who was the first American to win a Nobel Peace?,1
What is the FA Cup?,1
Are Schindler elevators safe,1
What are the 4 oceans on earth,1
Did Harry Potter put his own name in the goblet of fire?,1
Why does it help to focus on the breath when practicing mindfulness?,1
What's the best way to learn how to snowboard?,0
What was Angie Thomas's first published novel?,1
"Based on this paragraph, how many younger siblings did Kennedy have?",1
What are some of the common elements of visual design?,1
What is the difference between a shrub and a tree?,1
"As an expert skier, what are the top resorts in the US to go skiing?",1
"Which characters belong to DC or Marvel Universe? Hulk, Spectre",1
"Extract why Tim Lincecum was called ""The Freak""",1
Which players won the men's singles grand slam tennis tournaments in 2022.,1
Can you tell me something about Stanley J. Goldberg,1
Please summarize the causes and cure for color blindness given in the passage?,1
How can I improve my finances?,0
What is Zenthoefer Furs,1
What are the three branches of the US Federal Government?,1
"When rock climbing, what is the difference between lead climbing and top rope climbing?",1
Which is a species of fish? Mola mola or Molar,1
"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves manipulated, coerced donation.",0
What makes a good sales account executive?,0
"Which of the following are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard.",1
Think up some openings for beginners to the game of Chess,0
"Which sports would be easiest to find success in if you’re not tall: baseball, soccer, basketball, bowling.",1
What is the appeal of Flathead Lake as a Summer vacation destination?,1
What's the difference between tennis and pickleball?,1
What is Linux?,1
"Given a reference text about Jen Shah, what is she famous from, when was she criminally charged, what was the verdict, and when was she sentenced.",1
What are the classifications of Academic Degrees?,1
What types of problems in government could AI be used to solve,1
Why isn't multi-threading making my Python code faster? How can I fix it.,0
Who is the best NBA player of all time?,0
"Classify each as either a vodka drink or a gin drink: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni",1
How can I get better performance when querying a delta table?,0
Which coin of U.S currency has the most ridges.,1
Who was the first woman to have four country albums reach No. 1 on the Billboard 200?,1
"From the passage provided, extract the state Lincoln was born in",1
What is FIFA?,1
why is Mahatma Gandhi loved by everyone?,1
What is Game of Thrones based on?,1
What are the benefits of collaborating on a tech blog with your customers?,1
"Given this paragraph, how many public high schools are in Arlington, Virginia?",1
What are all of the professional baseball teams in the state of Florida?,1
"Given the reference text about the Cy Young Award, please describe what the award is and why it is awarded.",1
Extract what is Top Gun,1
Where to find the best croissant in San Francisco?,0
Do cats have nine lives?,1
What is Microsoft?,1
How do you make soap?,1
What are three most commonly sung lyric soprano arias?,1
Cases of Anthrax were found in Kerala in which animals?,1
"Categorize the following Taylor Swift songs based on what album they are in: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer",1
"I'm creating a class to explain to kids the difference between items that are powered and can be plugged in and items that aren't. Please divide the following things into those you can plug in and those that you can't: table, hairdryer, television, chair, computer, fridge, comb, flowers.",1
Can you describe what team effectiveness is?,1
"From the passage below, extract the names of the companies and technologies that Walmart has acquired over the last 3 years.",1
"Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City",1
Why do people like gardening?,1
I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?,0
"From the passage provided, extract the second studio album that Taylor Swift released.",1
Is there a World Taekwondo Grand Prix,1
"Based on the provided text, place the following books in chronological order: 
The Fox in the Attic, In Hazard: A Sea Story, A High Wind in Jamaica, and The Wooden Shepherdess",1
What is the best way to invest my money?,0
Do George Lucas and Steven Spielberg know each other?,1
Give me a list of the best bravo tv shows,0
What are the official languages of the United Nations?,1
What type of weather is San Francisco famous for?,1
What makes for a good photograph?,0
What's the game engine used by Bethesda before Creation Engine? And what's the last game make with it?,1
"From the passage provided, extract the languages in which Kishore Kumar provided his vocals as a playback singer. Separate them with a comma.",1
What are some movies that star Will Ferrell?,1
What is the plot of Harry Potter?,1
What is the old name for The Go Between Bridge?,1
Can I make chocolate at home?,0
How did Alfred Nobel make his money,1
What is the Trans Tahoe Relay?,1
When was the 8088 processor released?,1
"Identify which instrument is string or woodwind: Wheelharp, Clarinet",1
Which country makes the best coffee in the world?,0
"Based on the reference text about Bitcoin, how many countries have banned Bitcoin?",1
What was the Underground Railroad?,1
"Given this paragraph on LeBron James' early career, when did he win his first NBA MVP?",1
What are the best social media sites,0
How many musicians performed in the world's largest rock band?,1
Which team was relegated from the league at the conclusion of the 1991 Season?,1
What percussion instruments are easy to learn?,1
"Tell me whether these cities are in Texas: Austin, Houston, New York, Chicago, Miami, Dallas",1
Name all the books in the Harry Potter collection,1
"Tell me whether you drive on the right or left side of the road in these countries: USA, Mexico, Spain, England, New Zealand, Japan",1
Why should we ban artificial sweeteners like aspartame?,0
Give me some ideas of kids items to stuff into Easter eggs.,0
"I'm going to give you a passage from Marty Essen's book ""Cool Creatures, Hot Planet: Exploring the Seven Continents"" and want you to answer the following question: Where are western Hermann's tortoises found?

After spending the night at a large chain hotel, Deb and I traveled southeast with tortoises on our mind. Our plan for the day was to infiltrate the Massif des Maures area and search for one of France's most endangered reptiles-- the western Hermann's tortoise.  The first stop of our quest was Le Village de Tortues (the Tortoise Village), a tortoise rehabilitation center near the town of Gonfaron. Our mission was to befriend a staff member, learn as much as we could, and get detailed information on tracking down the wily Hermann's tortoise in the wild. When we couldn't find an English-speaking staff member, our mission was nearly thwarted. Only through quick thinking and improvisation were we able to acquire the vital background information we needed. Okay - we utilized the signs provided for British visitors. For many people, the word tortoise invokes thoughts of giant four-foot-long Galapagos tortoises. Western Hermann's tortoises, on the other hand, are small, reaching a maximum length of eight inches. While both reptiles make the IUCN Red List of Threatened Species, the Galapagos tortoise is listed as ""vulnerable"" and the western Hermann's is listed as ""endangered."" In France, habitat destruction, egg pilfering, and fire are the primary factors for the tortoises decline.",0
"Identify which car manufacturer is German or American: Opel, GMC",1
What are the top reasons to become a vegan?,1
"If each client was served by the same number of professionals, how many professionals (round to one decimal place) would each client be served by?",1
Why do cooks use kosher salt?,1
When was Lamb Air operating,1
What is the PGA Championship?,1
What fruits and vegetables are grown in lower-lying areas of Kenya?,1
Is Paris a good city to live in?,0
Since when did the SR22 include a glass cockpit,1
What do you know about the city of Aberdeen in Scotland?,1
What is the English Premier League?,1
"Classify the following types of cars as ""economy"" or ""luxury"": Ford, Chevrolet, Lamborghini, Ferrari, Mercedes, Honda, Lexus, Toyota, Nissan, Subaru",1
Please list down some key points  regarding governance system of Portland from the given text,1
Which river can you hike in Utah?,1
What is predictive maintenance?,1
Who are N-Dubz?,1
Write a haiku about how much I love pickles.,0
What is Terraform?,1
What are the two longest rivers located in the United States?,1
What are the words of House Reed?,1
What movies won best picture Oscars the last 5 years,0
"Classify each of the following grades as being in elementary or high school: 10th grade, 3rd grade, 4th grade, 12th grade, 1st grade.",1
Why is Brazilian jiu jitsu an excellent martial art?,1
What is Cup Game?,1
"Which is a bird or fish: Blackchin, Black redstart",1
"Classify the following water bodies into oceans, seas, rivers and lakes- aral, pacific, baikal, superior, amazon, colorado, indian, arabian, north, baltic, okhotosk, tahoe, victoria, lena, danube, arctic, mekong",1
From the passage find the list of banks who supported Yes Bank in 2020. Display the results in comma separated format.,1
What is WestWorld?,1
Best beach vacation in the world,0
"From the paragraph, tell me what is the fourth longest natural arch in the world",1
What city in the United States is known for its Mardi Gras celebrations?,1
Give me three ideas for a fun dinner party,0
Why are dogs generally more popular than cats as pets?,1
What is Nando's?,1
"What does Cisco specialize in, what technology markets do they address, and what are their most successful products?",1
Why is nitrogen gas used during the packaging of potato chips?,1
What are the causes for Sensory processing disorder?,1
What is the greatest movie of all time?,0
What is cryptocurrency?,1
"According to this text, when did Disney become a public company?",1
"Which of the following are ice cream toppings and which are salad dressings: thousand island, chocolate sauce, hot fudge, balsamic vinaigrette, whipped cream, and Caesar.",1
Where did Gretel attend primary school?,1
"Which of these are car brands: Ferrari, Fiat, Batavus, Philips, Renault, BMW, IKEA and MG",1
"Tell me whether each of these are animals or not: Alligator, Grass, Tree, Boat, Dolphin, Shark, Fish, Fence, Dog, Car",1
What was the Counter Reformation?,1
What is time series data?,1
"Given a reference text about Psychiatry: An Industry of Death, tell me when it opened and and who owns and operates it.",1
How to raise a kitten?,1
What is engineering culture?,1
Who are the pianists that are considered masters in playing Bach's music?,1
"Categorize these movies that came out in 1999 as cartoons or live-action: The Matrix, Stuart Little, Cruel Intentions, The Iron Giant, The Blair Witch Project, South Park: Bigger, Longer, and Uncut, The Sixth Sense",1
What dog breed is a mix between a Cocker Spaniel and a Poodle?,1
What is the name of the largest red-light district in Amsterdam?,1
Why do people move to California?,1
Discuss at least two risks associated with scraping data from websites. Describe steps an analyst could take to mitigate those risks.,0
What is Brdinje,1
How are tornadoes formed?,1
"Which ones are programming languages, out of C, Java, Node.js, Python, HTML, BigData, Spark?",1
What type of cheeses can you use to make a grilled cheese sandwich.,1
What is the tiny piece at the end of a shoelace called?,1
"What links Brazil, Uruguay, Mozambique and Angola",1
What the the effects of houseplants?,1
Who were the original 5 members of the Grateful Dead?,1
What is Magical Thinking?,1
"Based on this paragraph, how many times has Joe Biden run for president and what characteristics make him unique among all past presidents?",1
What articles of clothes are often worn by people in summer months?,1
Which Dutch actress played Xenia Onatopp in the James Bond movie GoldenEye?,1
Which of the 10 largest earthquakes was the deadliest?,1
Give me some tips on how to train for a marathon.,0
Extract the names of the cities and rank them in alphabetical order?,1
Write a guide for how to catch a smallmouth bass.,0
"Which ones are metals and non metals: Copper, Hydrogen, Silver, Carbon, Gold, Nitrogen",1
Write a funny and whimsical horoscope reading,0
"From the passage provided, extract the date when the 34th Wisconsin Infantry Regiment was organized.",1
How did Robert Baratheon die?,1
"For the Zodiac sign Aries, Share some information from the given text.",1
"Without quoting from the text, can you summarise from wikipedia who Denis-Benjamin Viger was?",1
What is the best language in the world,0
"Tell me whether these are movies or film Directors: Sholay, Satyajit Ray, Mani Ratnam, Lagaan, Yash Chopra, Roja",1
How do you improve your basketball handles?,0
What is the future trend of job industry,1
Why do Filipinos like eating rice so much?,1
What are the benefits of division of labour?,1
"According to the paragraph below, what is Generative AI?",1
"Identify which instrument is string or percussion: Pambai, Steel Guitar",1
What mammal lays the largest eggs?,1
Increased money supply (i.e. money printing),1
What is CBT?,1
What is appealing about Charleston in South Carolina?,1
Where is Shuyga?,1
What's the best way to cook a soft-boiled egg?,0
"What is ""diglossia""?",1
"How would you categorize the following sports into two groups; baseball, archery, decathlon, hockey",0
What is the second oldest ballpark in Major League Baseball?,1
What are some types of potatoes commonly grown in Ireland?,1
What are index funds?,1
Name 10 of Kris Jenner's Grandchildren,1
"Categorize each of the following as either 'spicy', 'not spicy' or 'sometimes spicy': jalapenos, chilis, sriracha, chips, pizza, cocktails, fruit, milk",1
What is the Turkish drink that tastes similar to,1
How many campgrounds does Shenandoah National Park have?,1
Who was the first women to do the spacewalk?,1
"Tell me whether each South Park character is a kid or adult: Randy, Stan, Kyle, Butters, Sharon",1
What is the kiwi bird?,1
What is Unified Payments Interface (UPI) in India,1
What is a spiral staircase?,1
"Miles Davis, Rhianna, Elton John, John Coltrane, Taylor Swift, Amy Winehouse, Elvis, Billy Holiday. These are all musicians - list which of these are jazz musicians, and which are not.",1
"Extract the criticisms that modern portfolio theory faces from this link https://en.wikipedia.org/wiki/Modern_portfolio_theory, place them in a bullet list",1
Which is considered the first human technology?,1
"Given this paragraph about the Cold War, why did the Soviets pull out of their war in Afghanistan?",1
Why did the Seattle Supersonics leave Seattle?,1
"Which of the following words starts with the letter S: Snake, Towel, Table, Shower, Yam, Butterfly, Apple",1
What does the Gini coefficient measure?,1
Give me some facts about Ethiopia?,1
What are the advantages to studying Engineering in college?,1
"According to the text below about UVA, name the UVA alumni that have won the Pulitzer Prize.",1
Who are the three team managers that hold the record for the most appearances in the FIFA Club World Cup final?,1
"Classify these objects based on their shape.
wheel, coin, CD, stamp, chess board",1
Why are all the planets and moons round in shape? What makes them round? Does there exist another shape?,1
what are the advantages of having a vegetable garden at home on the owners health?,1
"Can you tell me recipe to make a quick dessert , tell me one which is your favorite.",0
The album the ways to love a man by Tammy Wynette,0
Where to visit in Brazil?,1
which are rainbow colours violet red orange purple indigo pink blue black white yellow  green grey,1
What are some of the most common activities during winter in cold weather climates?,1
Who is Cindy Robinson?,1
Does Palmeiras have a Fifa club world cup?,1
"Given a reference text about Gennady Petrovich Lyachin, tell me when he joined the navy and when he was decommissioned.",1
How many cats did Freddie Mercury have?,1
Walter Koenig played which part in the Star Trek series,1
Write critical success factors for a proposal to a company called ABC for an Enterprise Application Integration (EAI) effort,0
Extract the reason why was Mark Hunt known as the King of Walk Offs,1
Monitor and Merrimac refer to what in the passage?,1
Could you write a poem about a standing desk?,0
"Classify each of the following as either titles by J.K. Rowling or Suzanne Collins: Harry Potter and the Sorcerer's Stone, The Ickabog, Fantastic Beasts and Where to Find Them, The Cuckoo's Calling, Harry Potter and the Order of the Phoenix, Catching Fire, Mockingjay, Gregor the Overlander, Year of the Jungle, The Ballad of Songbirds and Snakes",1
What is the largest city in Washington state?,1
"Tell me which months have 30 days and which have 31 days, based on this list: January, February, March, April, May, June, July, August, September, October, November, and December.",1
List down important points about prisoners and events from the given passage,1
What is the largest or biggest land animal?,1
What is the current reigning dynasty of Thailand?,1
What criteria should I be looking at when buying a new motorcycle?,0
What are the ten best restaurants in London?,0
"Is it a gas, liquid, or solid",1
Are plastic bags and containers bad for the environment?,1
"What are five totally distinct, creative ways to describe the usefulness of an idle mind?",0
What is an actuary?,1
"Tell me wether these are cities, or states? IL, chicago, Texas, Fremont, Washington, Washington DC, san jose, bay area",1
"Identify which instrument is string or percussion: Sabar, Sharud",1
What is the fastest car?,1
When is India's independence day?,1
Who won the 63rd staging of the Limerick Senior Hurling Championship?,1
When did Hungary gain its independence?,1
Why do people enjoy surfing,1
What is the English Premier League?,1
Who is the 'sole Survivor' on the TV Show Survivor?,1
Why do companies play dividends?,1
Which major league baseball season is considered Sid Gordon's breakout year?,1
"Classify the cities based on whether they are located in Eritrea or Gabon.
Keren, Franceville, Asmara, Port-Gentil, Assab, Libreville",1
What is Depreciation,1
"Give me a list of the last five ""Best New Artist"" Grammy winners.",0
"In a bingo game, which number is represented by the phrase “two little ducks”?",1
What is knitting?,1
Please summarize the timeline of the Chinese Exclusion Act.,1
What are some foods to cook to celebrate St. Patrick's Day?,1
Which is longest road or highway or motorway in the world,1
What is Jenkins?,1
What are common swimming strokes?,1
What do you think about the existence of alien lifeform?,0
"Was the Pixie Lott song ""Mama Do"" ever the #1 single?",1
What language is HP GL,1
"Classify each of the following animals as being domesticated or wild: dog, bear, dolphin, cat, cow, hippo, rhino",1
Tell me about the football career of Adao,1
How can I learn to snowboard?,0
Write a brief passage arguing for mandating Electric Vehicles (EVs) over gas combustion vehicles in the United States.,0
"From the passage provided, extract the low end in Celsius of the optimal coffee extraction temperature range.",1
"Tell me if these drinks are alcoholic or not: Coca-Cola, Mountain Dew, Budweiser, Rum, Vodka, Tomato Juice, Orange Juice, Sprite, Tequila, Margarita",1
"Given this paragraph about WWII, how many fatalities happened?",1
"Which of the companies in this list are social media platforms: Twitter, Amazon, Instagram, Square, Venmo, Tiktok, Apple.",1
what is the current location of Voyager 1 spacecraft in the cosmos?,1
Give me 5 ways to use a ripe avocado,0
"List the ten episode titles from the sixth season of ""Game of Thrones"" in broadcast order.",1
What is the largest airline in the world ?,1
Name 5 popular musicians,1
"From this summary, list three ways in which artificial intelligence systems show behavior misaligned human values, covered by Brian Christian in the three sections of his book ""The Alignment Problem""?",1
Is it a good idea to have a protein shake after a gym workout? How do I make one?,0
To which countries have The Netherlands borders with.,1
What are some plastic use reduction ideas,0
What is guitar amp modeling?,1
"Classify each of the following as ""heavy"" or ""light"": elephant, feather, hippo, paper, whale",1
Where should I live in Indiana?,0
Who was Cleopatra's first husband,1
What is the difference between a bass guitar and a normal guitar?`,1
How is data engineering different from data science?,1
Who was Paramahansa Yogananda?,1
"Based on the text below, please summarise in a few lines",1
What was Freddie Mercury's real name?,1
Who were the major players in the Watergate conspiracy?,1
Which of Shakespeare’s plays is the longest?,1
What are some ways to care for a new tree,0
"From the passage provided, extract the programming languages supported by Flink. Separate them with a comma.",1
Can you recommend 3 diverse National Parks in California worth a visit?,0
"In 64th Annual Grammy Awards,  best album of the year award was given to",0
What are the top attractions to visit in Cancun?,1
What are the starting Pokemon in Pokemon Red and Blue?,1
"Classify the eight planets of Earth's solar system as rocky or gaseous, according to their primary composition.",1
How reliable is public transportation?,1
What are some ways to inculcate practice based learning in kids?,0
Which is a species of fish? Nurse or Nurse shark,1
Who invented the radio?,1
